N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
160,솔루스첨단소재,"49,150",200,+0.41%,100,"15,035","30,590",6.29,"355,914",142.05,N/A,
161,명신산업,"36,750","3,400",-8.47%,500,"14,986","40,779",1.78,"3,228,932",N/A,53.84,
162,KODEX 종합채권(AA-이상)액티브,"109,585",40,-0.04%,0,"14,725","13,437",0.00,"8,176",N/A,N/A,
163,DL,"95,100","8,400",+9.69%,"5,000","14,685","15,441",30.64,"810,139",5.03,11.74,
164,부광약품,"22,300",250,+1.13%,500,"14,459","64,838",4.76,"390,058","11,150.00",-2.00,
165,세방전지,"103,000","3,500",+3.52%,500,"14,420","14,000",24.78,"160,037",19.51,7.70,
166,코오롱인더,"53,000",0,0.00%,"5,000","14,299","26,979",15.22,"1,071,690",9.49,1.58,
167,동원시스템즈,"55,600","2,500",+4.71%,"5,000","14,244","25,619",1.69,"175,817",31.59,8.69,
168,씨에스윈드,"82,000",500,+0.61%,500,"14,174","17,286",8.94,"521,350",57.18,9.92,
169,NHN,"72,200",100,-0.14%,500,"14,126","19,565",11.71,"71,574",48.10,0.78,
170,롯데정밀화학,"54,300",200,-0.37%,"5,000","14,009","25,800",22.85,"127,091",8.19,11.73,
171,지누스,"96,800",500,+0.52%,500,"13,946","14,407",22.84,"46,130",19.54,26.32,
172,LG전자우,"79,500",600,-0.75%,"5,000","13,663","17,186",38.58,"324,688",17.27,N/A,
173,효성첨단소재,"300,000","8,000",-2.60%,"5,000","13,440","4,480",10.11,"151,282",-20.09,-19.74,
174,한국콜마,"58,300",800,+1.39%,500,"13,340","22,881",28.85,"1,253,713",41.94,6.39,
175,신세계인터내셔날,"186,500","2,000",-1.06%,"5,000","13,316","7,140",3.89,"63,439",29.53,12.98,
176,SK네트웍스,"5,180",20,-0.38%,"2,500","12,856","248,188",12.09,"1,002,630",-22.42,-5.85,
177,롯데관광개발,"18,150",650,-3.46%,500,"12,574","69,276",4.89,"843,282",-26.65,-4.77,
178,이노션,"62,600",500,+0.81%,500,"12,520","20,000",29.91,"63,096",19.50,9.88,
179,한미반도체,"24,250","2,650",+12.27%,200,"12,489","51,502",5.94,"10,276,391",28.36,8.85,
180,솔루엠,"25,350",650,-2.50%,500,"12,445","49,092",0.02,"1,259,000",25.02,86.98,
181,SK디스커버리,"65,100","1,200",-1.81%,"5,000","12,394","19,038",10.27,"243,531",4.27,11.52,
182,한전KPS,"27,350",300,-1.08%,200,"12,308","45,000",10.87,"249,541",10.15,14.98,
183,한올바이오파마,"23,400",50,-0.21%,500,"12,224","52,241",6.44,"525,545",62.07,14.90,
184,DGB금융지주,"7,130",60,+0.85%,"5,000","12,060","169,146",47.14,"479,351",3.64,7.31,
185,KBSTAR 200,"42,875",365,+0.86%,0,"11,919","27,800",0.01,"348,366",N/A,N/A,
186,KG동부제철,"11,800",50,+0.43%,"5,000","11,801","100,009",0.11,"208,676",14.32,-7.44,
187,KODEX 인버스,"3,900",35,-0.89%,0,"11,751","301,300",2.58,"93,238,843",N/A,N/A,
188,영진약품,"6,350",30,-0.47%,500,"11,614","182,893",4.20,"973,344","-1,587.50",4.43,
